NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,41.667,42,42,42,42,42,42,42,42
377,377,377.22,377,377,377,377,377,377,377
187,187,187,186.94,187,187,187,187,187,187
275,275,275,275,275.29,275,275,275,275,275
270,270,270,270,270,270.38,270,270,270,270
272,272,272,272,272,272,272.1,272,272,272
1105,1105,1105,1105,1105,1105,1105,1104.9,1105,1105
303,303,303,303,303,303,303,303,303.33,303
687,687,687,687,687,687,687,687,687,686.6
